Unnamed: 0,index,release_year,rank,song,artist,last-week,peak-rank,weeks-on-board,release_year.1,count,track_id
115,504,1989,100,The Living Years,Mike + The Mechanics,69.0,1,20,1989,1,7tJnjRY2js0yXtNUWE4fgF
116,505,1989,84,When I'm With You,Sheriff,76.0,1,28,1989,1,6yJmxPGazR55GAQdyHPf6q
117,506,1989,97,My Prerogative,Bobby Brown,87.0,1,24,1989,1,0v9kGNjkKdQUdDoBIuiph4
118,507,1989,96,Every Rose Has Its Thorn,Poison,75.0,1,21,1989,1,43GS3mtezoIFiuIZCLLiDY
119,515,1989,90,"Wild, Wild West",The Escape Club,89.0,1,27,1989,1,7r6PigmGzlB3YPB7wvBBbi
120,516,1989,91,"Baby, I Love Your Way/Freebird Medley",Will To Power,87.0,1,24,1989,1,0vafgT4kyUWEYi4pXmsN1m
121,517,1989,87,"Don't Worry, Be Happy (From ""Cocktail"")",Bobby McFerrin,69.0,1,26,1989,1,noid
122,518,1989,94,Love Bites,Def Leppard,94.0,1,23,1989,1,3Dfy8YIxq89i84t108TvMi
123,519,1988,93,Sweet Child O' Mine,Guns N' Roses,85.0,1,24,1988,1,7snQQk1zcKl8gZ92AnueZW
124,522,1988,98,The Flame,Cheap Trick,83.0,1,27,1988,1,0VO8gYVDSwM1Qdd2GsMoYK
125,526,1988,83,Wishing Well,Terence Trent D'Arby,66.0,1,25,1988,1,2U5WueTLIK5WJLD7mvDODv
126,530,1988,79,Need You Tonight,INXS,72.0,1,25,1988,1,5eU8qMd0TpaLqTGDZJaLDs
127,531,1988,97,Seasons Change,Expose,74.0,1,20,1988,1,1iGuSsBQT3JPnJtg0Advjz
128,538,1988,97,Heaven Is A Place On Earth,Belinda Carlisle,79.0,1,21,1988,1,3EvpaRZkKWxsgDIO2zMH7g
129,539,1988,92,Mony Mony,Billy Idol,83.0,1,22,1988,1,2LbkpJUH052AvFcNIgjHTO
130,540,1988,99,Here I Go Again,Whitesnake,98.0,1,28,1988,1,1qOU8KzFifXE9YrgjVwYvc
131,543,1987,99,La Bamba,Los Lobos,69.0,1,21,1987,1,2aEeghgUcnu75tzcolFMfs
132,544,1987,99,I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett,77.0,1,14,1987,1,2fytePz8UsbUr8n33QBEcm
133,549,1987,97,"Shakedown (From ""Beverly Hills Cop II"")",Bob Seger,64.0,1,18,1987,1,noid
134,550,1987,92,Always,Atlantic Starr,79.0,1,22,1987,1,2enPRFda84VE2wtI8c86Uf
135,551,1987,96,You Keep Me Hangin' On,Kim Wilde,85.0,1,21,1987,1,4a01ClusxuZiloOK5UgLUn
136,552,1987,87,(I Just) Died In Your Arms,Cutting Crew,69.0,1,19,1987,1,4ByEFOBuLXpCqvO1kw8Wdm
137,557,1987,97,Lean On Me,Club Nouveau,73.0,1,17,1987,1,3M8FzayQWtkvOhqMn2V4T2
138,562,1987,99,Shake You Down,Gregory Abbott,58.0,1,22,1987,1,1Hb1IJ9bBCa6wo3fRtexnJ
139,564,1987,82,The Next Time I Fall,Peter Cetera With Amy Grant,58.0,1,21,1987,1,7zSDDsIlks515d0tZGM64x
140,567,1987,98,Amanda,Boston,77.0,1,18,1987,1,4gpext9x0CbdD9NWaa4nDj
141,573,1986,82,"Take My Breath Away (Love Theme From ""Top Gun"")",Berlin,68.0,1,21,1986,1,noid
142,574,1986,99,Venus,Bananarama,68.0,1,19,1986,1,5fqjfiMOFapIb8uFcxBStH
143,575,1986,96,"Glory Of Love (Theme From ""The Karate Kid Part II"")",Peter Cetera,84.0,1,21,1986,1,noid
144,576,1986,92,Sledgehammer,Peter Gabriel,77.0,1,21,1986,1,4AUS8KNz7zX8XFu9L38GT0
145,577,1986,98,Invisible Touch,Genesis,79.0,1,17,1986,1,0xpBr84T3FTm9j4D1MdPtk
146,579,1986,97,West End Girls,Pet Shop Boys,75.0,1,20,1986,1,2Di0qFNb7ATroCGB3q0Ka7
147,580,1986,99,Addicted To Love,Robert Palmer,61.0,1,22,1986,1,5izGeTxueiFX1UPFGohY9w
148,581,1986,88,Rock Me Amadeus,Falco,45.0,1,17,1986,1,0DfG1ltJnZyq4Tx3ZLL7ZU
149,589,1986,82,Separate Lives,Phil Collins and Marilyn Martin,65.0,1,21,1986,1,6DEFVerhYVJ6ZkPJiPl5Sm
150,590,1986,100,Miami Vice Theme,Jan Hammer,97.0,1,22,1986,1,1biP5gM7Le8S3E7GJEKgXC
151,598,1986,99,Take On Me,a-ha,97.0,1,27,1986,1,2WfaOiMkCvy7F5fcp2zZ8L
152,599,1985,95,Oh Sheila,Ready For The World,79.0,1,21,1985,1,5PM96PMKMfD1lLX2lryUsG
153,600,1985,79,Money For Nothing,Dire Straits,68.0,1,22,1985,1,4yqtwO7MQIIXqoiRBPHAgR
