danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.612,0.289,9,-11.568,1,0.0421,0.599,0.00266,0.0561,0.466,183.18,audio_features,3QIoEi8Enr9uHffwInGIsC,spotify:track:3QIoEi8Enr9uHffwInGIsC,https://api.spotify.com/v1/tracks/3QIoEi8Enr9uHffwInGIsC,https://api.spotify.com/v1/audio-analysis/3QIoEi8Enr9uHffwInGIsC,177440,3
0.672,0.738,0,-7.045,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,audio_features,6t6oULCRS6hnI7rm0h5gwl,spotify:track:6t6oULCRS6hnI7rm0h5gwl,https://api.spotify.com/v1/tracks/6t6oULCRS6hnI7rm0h5gwl,https://api.spotify.com/v1/audio-analysis/6t6oULCRS6hnI7rm0h5gwl,277040,4
0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,audio_features,3TGRqZ0a2l1LRblBkJoaDx,spotify:track:3TGRqZ0a2l1LRblBkJoaDx,https://api.spotify.com/v1/tracks/3TGRqZ0a2l1LRblBkJoaDx,https://api.spotify.com/v1/audio-analysis/3TGRqZ0a2l1LRblBkJoaDx,193400,4
0.42,0.558,9,-5.728,1,0.0509,0.167,0.0,0.19,0.538,165.987,audio_features,7M6KOBCfPzWqbkiaXnm7bd,spotify:track:7M6KOBCfPzWqbkiaXnm7bd,https://api.spotify.com/v1/tracks/7M6KOBCfPzWqbkiaXnm7bd,https://api.spotify.com/v1/audio-analysis/7M6KOBCfPzWqbkiaXnm7bd,170576,4
0.471,0.924,8,-3.906,1,0.0586,0.00301,0.0,0.313,0.725,154.961,audio_features,2iUmqdfGZcHIhS3b9E9EWq,spotify:track:2iUmqdfGZcHIhS3b9E9EWq,https://api.spotify.com/v1/tracks/2iUmqdfGZcHIhS3b9E9EWq,https://api.spotify.com/v1/audio-analysis/2iUmqdfGZcHIhS3b9E9EWq,177280,4
0.722,0.851,7,-3.873,0,0.0639,0.0319,0.0,0.108,0.452,126.885,audio_features,5yDL13y5giogKs2fSNf7sj,spotify:track:5yDL13y5giogKs2fSNf7sj,https://api.spotify.com/v1/tracks/5yDL13y5giogKs2fSNf7sj,https://api.spotify.com/v1/audio-analysis/5yDL13y5giogKs2fSNf7sj,197936,4
0.707,0.861,7,-4.225,1,0.316,0.1,0.0,0.191,0.795,130.021,audio_features,0obBFrPYkSoBJbvHfUIhkv,spotify:track:0obBFrPYkSoBJbvHfUIhkv,https://api.spotify.com/v1/tracks/0obBFrPYkSoBJbvHfUIhkv,https://api.spotify.com/v1/audio-analysis/0obBFrPYkSoBJbvHfUIhkv,199480,4
0.929,0.339,1,-10.881,1,0.371,0.0373,1.96e-05,0.187,0.273,98.986,audio_features,0srwKuJPH8yBzzFUJMBQM2,spotify:track:0srwKuJPH8yBzzFUJMBQM2,https://api.spotify.com/v1/tracks/0srwKuJPH8yBzzFUJMBQM2,https://api.spotify.com/v1/audio-analysis/0srwKuJPH8yBzzFUJMBQM2,203200,4
0.757,0.547,7,-4.573,1,0.0355,0.0115,0.0,0.0445,0.793,126.977,audio_features,6MAdEUilV2p9RQUqE5bMAK,spotify:track:6MAdEUilV2p9RQUqE5bMAK,https://api.spotify.com/v1/tracks/6MAdEUilV2p9RQUqE5bMAK,https://api.spotify.com/v1/audio-analysis/6MAdEUilV2p9RQUqE5bMAK,231693,4
0.789,0.858,1,-5.542,1,0.311,0.127,0.0,0.349,0.775,140.022,audio_features,1auxYwYrFRqZP7t3s7w4um,spotify:track:1auxYwYrFRqZP7t3s7w4um,https://api.spotify.com/v1/tracks/1auxYwYrFRqZP7t3s7w4um,https://api.spotify.com/v1/audio-analysis/1auxYwYrFRqZP7t3s7w4um,219333,4
0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,audio_features,7w87IxuO7BDcJ3YUqCyMTT,spotify:track:7w87IxuO7BDcJ3YUqCyMTT,https://api.spotify.com/v1/tracks/7w87IxuO7BDcJ3YUqCyMTT,https://api.spotify.com/v1/audio-analysis/7w87IxuO7BDcJ3YUqCyMTT,239600,4
0.641,0.842,9,-7.27,1,0.0292,0.134,0.911,0.419,0.499,129.978,audio_features,61OJxhoY3Ix50rYVKo8zRK,spotify:track:61OJxhoY3Ix50rYVKo8zRK,https://api.spotify.com/v1/tracks/61OJxhoY3Ix50rYVKo8zRK,https://api.spotify.com/v1/audio-analysis/61OJxhoY3Ix50rYVKo8zRK,278769,4
0.68,0.74,2,-5.064,1,0.0355,0.342,1.81e-06,0.117,0.644,127.024,audio_features,5ZVGvay4xwgXMnQWffNYeU,spotify:track:5ZVGvay4xwgXMnQWffNYeU,https://api.spotify.com/v1/tracks/5ZVGvay4xwgXMnQWffNYeU,https://api.spotify.com/v1/audio-analysis/5ZVGvay4xwgXMnQWffNYeU,229400,4
0.591,0.889,7,-3.839,1,0.115,0.0189,0.0,0.155,0.65,143.067,audio_features,4NTWZqvfQTlOMitlVn6tew,spotify:track:4NTWZqvfQTlOMitlVn6tew,https://api.spotify.com/v1/tracks/4NTWZqvfQTlOMitlVn6tew,https://api.spotify.com/v1/audio-analysis/4NTWZqvfQTlOMitlVn6tew,239613,4
0.734,0.485,4,-13.865,0,0.0465,0.357,0.00019,0.0401,0.933,95.321,audio_features,5GvWrvLIqoHroq7YvO260M,spotify:track:5GvWrvLIqoHroq7YvO260M,https://api.spotify.com/v1/tracks/5GvWrvLIqoHroq7YvO260M,https://api.spotify.com/v1/audio-analysis/5GvWrvLIqoHroq7YvO260M,222280,4
0.754,0.804,4,-3.177,1,0.0853,0.00332,0.0,0.0329,0.818,119.968,audio_features,1DqdF42leyFIzqNDv9CjId,spotify:track:1DqdF42leyFIzqNDv9CjId,https://api.spotify.com/v1/tracks/1DqdF42leyFIzqNDv9CjId,https://api.spotify.com/v1/audio-analysis/1DqdF42leyFIzqNDv9CjId,203867,4
0.674,0.882,3,-2.771,0,0.0477,0.000441,6.47e-05,0.068,0.682,123.016,audio_features,3kMrazSvILsgcwtidZd1Qd,spotify:track:3kMrazSvILsgcwtidZd1Qd,https://api.spotify.com/v1/tracks/3kMrazSvILsgcwtidZd1Qd,https://api.spotify.com/v1/audio-analysis/3kMrazSvILsgcwtidZd1Qd,205733,4
0.44,0.683,11,-4.732,0,0.0489,0.00706,0.0,0.0593,0.445,185.948,audio_features,2rDwdvBma1O1eLzo29p2cr,spotify:track:2rDwdvBma1O1eLzo29p2cr,https://api.spotify.com/v1/tracks/2rDwdvBma1O1eLzo29p2cr,https://api.spotify.com/v1/audio-analysis/2rDwdvBma1O1eLzo29p2cr,227320,4
