,date,song,artist,peak-rank,weeks-on-board,release_year,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_m
189,2000,U Know What's Up,Donell Jones,7,24,2000,2E43WFS4rRc09za2r2GmZl,0.558,0.924,A,-4.341,0,0.064,0.0271,3.32E-06,0.537,0.567,151.99,2E43WFS4rRc09za2r2GmZl,3.11
190,2000,24/7,Kevon Edmonds,10,20,2000,05QUYSOApWLr8oBbpONl7p,0.664,0.549,F#,-7.282,1,0.036,0.202,0,0.122,0.408,149.98,05QUYSOApWLr8oBbpONl7p,2.78
191,2000,Everything You Want,Vertical Horizon,1,41,2000,4cKGldbhGJniI8BrB3K6tb,0.636,0.761,D#,-6.389,0,0.0306,0.0517,0,0.0642,0.736,93.896,4cKGldbhGJniI8BrB3K6tb,4.28
192,2000,I Wanna Know,Joe,4,44,2000,5FVd6KXrgO9B3JPmC8OPst,0.548,0.532,F,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,5FVd6KXrgO9B3JPmC8OPst,4.54
193,2000,All The Small Things,Blink-182,6,23,2000,2m1hi0nfMR9vdGC8UcrnwU,0.434,0.897,C,-4.918,1,0.0488,0.0103,0,0.612,0.684,148.726,2m1hi0nfMR9vdGC8UcrnwU,2.78
194,2000,It Feels So Good,Sonique,8,24,2000,4Y8q64VnhD0vFYy9g2WFpi,0.634,0.677,F,-7.278,0,0.0304,0.0117,0.00103,0.126,0.558,135.012,4Y8q64VnhD0vFYy9g2WFpi,4.01
195,2000,Amazed,Lonestar,1,55,2000,6qc34bnVOyqGDPni8H5W0U,0.561,0.543,C#,-8.498,1,0.0324,0.26,0,0.124,0.243,139.803,6qc34bnVOyqGDPni8H5W0U,4.01
196,2000,I Try,Macy Gray,5,27,2000,7kt9e9LFSpN1zQtYEl19o1,0.515,0.476,A,-9.843,1,0.0328,0.314,4.74E-05,0.171,0.412,135.886,7kt9e9LFSpN1zQtYEl19o1,3.25
197,2000,Bag Lady,Erykah Badu,6,20,2000,3ISKxnCGKc5B9zr9CTUB3v,0.669,0.663,A#,-6.377,0,0.0276,0.129,0.0671,0.0694,0.584,109.995,3ISKxnCGKc5B9zr9CTUB3v,4.66
198,2000,No More,Ruff Endz,5,26,2000,2KvHC9z14GSl4YpkNMX384,0.618,0.693,G,-5.943,0,0.45,0.246,0,0.112,0.454,170.982,2KvHC9z14GSl4YpkNMX384,4.73
199,2000,Absolutely (Story Of A Girl),Nine Days,6,27,2000,3mNecsYFb6LQg7822DPXCP,0.481,0.94,G,-5.204,1,0.066,0.000891,0,0.0939,0.66,96.493,3mNecsYFb6LQg7822DPXCP,3.16
200,2000,Back At One,Brian McKnight,2,37,2000,6mwA6YiKDjAUG8kWvRRUPh,0.661,0.346,B,-9.115,1,0.03,0.452,0,0.131,0.256,129.752,6mwA6YiKDjAUG8kWvRRUPh,4.39
201,2000,We Can't Be Friends,Deborah Cox With R.L.,8,20,2000,6x959m2QDvatSwUAVCHIuf,0.776,0.68,A#,-10.088,1,0.0389,0.179,0,0.483,0.962,92.481,6x959m2QDvatSwUAVCHIuf,3.84
202,1999,Give It To You,Jordan Knight,10,20,1999,6k8uthjEbttfWXcGaNTQGD,0.711,0.761,G#,-3.04,1,0.225,0.067,0,0.041,0.718,95.824,6k8uthjEbttfWXcGaNTQGD,4.06
203,1999,Stay The Same,Joey McIntyre,10,14,1999,5R6NuttGhlDnHy7HRuJkhL,0.671,0.611,C,-6.431,0,0.283,0.662,0,0.0855,0.591,150.102,5R6NuttGhlDnHy7HRuJkhL,2.35
204,1999,Touch It,Monifah,9,26,1999,1HfsmNlg8xxhOr9N2i4Q0n,0.714,0.68,D#,-5.989,1,0.026,0.135,1.82E-06,0.229,0.934,108.001,1HfsmNlg8xxhOr9N2i4Q0n,3.03
205,1999,One Week,Barenaked Ladies,1,20,1999,7CyPwkp0oE8Ro9Dd5CUDjW,0.522,0.641,G#,-6.287,1,0.0318,0.0545,0,0.162,0.202,87.51,7CyPwkp0oE8Ro9Dd5CUDjW,4.08
206,1999,I'll Be,Edwin McCain,5,24,1999,0phwM5a6TdLBDl0F9bk5fl,0.571,0.499,B,-5.515,1,0.404,0.554,0,0.0908,0.755,126.434,0phwM5a6TdLBDl0F9bk5fl,3.74
207,1999,Lately,Divine,1,27,1999,5uKeg9x7ykaz7xe13vL1hg,0.751,0.503,C#,-10.419,0,0.0962,0.218,0.00486,0.136,0.17,100.016,5uKeg9x7ykaz7xe13vL1hg,1.3
208,1999,Lately,Divine,1,27,1999,5uKeg9x7ykaz7xe13vL1hg,0.751,0.503,C#,-10.419,0,0.0962,0.218,0.00486,0.136,0.17,100.016,5uKeg9x7ykaz7xe13vL1hg,1.3
209,1999,Doo Wop (That Thing),Lauryn Hill,1,21,1999,0uEp9E98JB5awlA084uaIg,0.535,0.505,D,-8.926,0,0.245,0.0393,0,0.0923,0.495,99.935,0uEp9E98JB5awlA084uaIg,5.34
210,1999,Lullaby,Shawn Mullins,7,18,1999,1GiwvmI57OTGcKGNigZFJb,0.704,0.677,F,-6.135,1,0.0288,0.426,3.29E-06,0.118,0.715,92.021,1GiwvmI57OTGcKGNigZFJb,2.86
211,1999,Nobody's Supposed To Be Here,Deborah Cox,2,29,1999,51QxenFmXlJXUN9mpvxlaL,0.662,0.531,G#,-5.3,1,0.0361,0.202,1.16E-05,0.595,0.399,119.957,51QxenFmXlJXUN9mpvxlaL,4.37
212,1999,Love Like This,Faith Evans,7,20,1999,2PWTZV5znjLtZC5T1EVJvL,0.422,0.44,B,-5.53,1,0.0544,0.617,0,0.0837,0.332,128.934,2PWTZV5znjLtZC5T1EVJvL,2.01
213,1999,C'est La Vie,B*Witched,9,15,1999,3QqOcLtTU8zzlQRJCZzttP,0.881,0.782,A,-3.657,1,0.0803,0.06,0,0.0616,0.774,142.119,3QqOcLtTU8zzlQRJCZzttP,2.67
214,1999,You,Jesse Powell,10,20,1999,0bYg9bo50gSsH3LtXe2SQn,0.336,0.627,G,-7.463,1,0.0384,0.164,0,0.0708,0.35,150.273,0bYg9bo50gSsH3LtXe2SQn,4.02
215,1999,Please Remember Me,Tim McGraw,10,20,1999,5u7BDyugDW7ZXkXdCxU9JC,0.465,0.54,C#,-7.097,1,0.0277,0.177,2.82E-06,0.106,0.234,75.88,5u7BDyugDW7ZXkXdCxU9JC,4.94
216,1999,Chante's Got A Man,Chante Moore,10,18,1999,6v4UCusR4LTRlM5WHBUyxQ,0.75,0.645,C#,-6.399,0,0.0576,0.201,0,0.0582,0.506,111.569,6v4UCusR4LTRlM5WHBUyxQ,4.42
